app,module,doctype,label_cn,kind,is_submittable,is_child,is_single,autoname,title_field,track_changes,allow_rename,retention_years,data_classification,primary_roles,description,key_indexes,standard_references,domain_group
ione_hrp,HRP Foundation,HRP System Settings,HRP系统设置,Single,0,0,1,,,1,0,10,内部,System Manager;HRP System Manager,HRP全局安全与集成默认值；固定策略只能随受控代码发布变更。,,,Core
ione_hrp,HRP Foundation,HRP Feature Flag,HRP特性开关,Transaction,1,0,0,format:CORE-.YYYY.-.#####,subject,1,0,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP特性开关对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit;status;posting_date,,Core
ione_hrp,HRP Foundation,HRP Numbering Scheme,HRP编号方案,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP编号方案对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Foundation,HRP Code Segment,HRP编码段,Transaction,1,0,0,format:CORE-.YYYY.-.#####,subject,1,0,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP编码段对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit;status;posting_date,,Core
ione_hrp,HRP Foundation,HRP Business Calendar,HRP业务日历,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP业务日历对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Foundation,HRP Holiday Policy,HRP节假日策略,Master,0,0,0,format:CORE-.#####,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP节假日策略对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Foundation,HRP Currency Policy,HRP币种策略,Master,0,0,0,format:CORE-.#####,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP币种策略对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Foundation,HRP Amount Threshold,HRP金额阈值,Transaction,1,0,0,format:CORE-.YYYY.-.#####,subject,1,0,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP金额阈值对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit;status;posting_date,,Core
ione_hrp,HRP Foundation,HRP Data Classification,HRP数据分类分级,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP数据分类分级对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Foundation,HRP Retention Policy,HRP保留策略,Master,0,0,0,format:CORE-.#####,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP保留策略对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Foundation,HRP Reference Link,HRP关联链接,Transaction,0,0,0,format:CORE-.YYYY.-.#####,subject,1,0,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP关联链接对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit;status;posting_date,,Core
ione_hrp,HRP Foundation,HRP Attachment Category,HRP附件类别,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,基础设置领域的HRP附件类别对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Organization,HRP Medical Group,HRP医疗集团,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,组织领域的HRP医疗集团对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Organization,HRP Legal Entity,HRP法人主体,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,组织领域的HRP法人主体对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Organization,HRP Hospital,HRP医院,Master,0,0,0,field:code,display_name,1,0,10,内部,System Manager;HRP System Manager;HRP Data Steward,医院主数据，作为组织版本和组织层级的稳定边界。,company;enabled,Company,Core
ione_hrp,HRP Organization,HRP Campus,HRP院区,Master,0,0,0,field:code,display_name,1,1,10,内部,HRP System Manager;HRP Data Steward,组织领域的HRP院区对象；用于支撑业务闭环、权限、审计与对账。,company;organization_unit,,Core
ione_hrp,HRP Organization,HRP Organization Unit,HRP组织单元,Master,0,0,0,hash,display_name,1,0,10,内部,System Manager;HRP System Manager;HRP Data Steward,组织版本内的树节点；只允许通过组织层级服务整体维护。,organization_version;company;hospital;parent_organization_unit;unit_type,Company,Core
